Link,Title,Authors,Publication Date,Journal Title,Abstract
https://www.nature.com/articles/s41392-024-01948-4,Irinotecan hydrochloride liposome HR070803 in combination with 5-fluorouracil and leucovorin in locally advanced or metastatic pancreatic ductal adenocarcinoma following prior gemcitabine-based therapy (PAN-HEROIC-1): a phase 3 trial,"['Jiujie Cui', 'Shukui Qin', 'Yuhong Zhou', 'Shuang Zhang', 'Xiaofeng Sun', 'Mingjun Zhang', 'Jiuwei Cui', 'Weijia Fang', 'Kangsheng Gu', 'Zhihua Li', 'Jufeng Wang', 'Xiaobing Chen', 'Jun Yao', 'Jun Zhou', 'Gang Wang', 'Yuxian Bai', 'Juxiang Xiao', 'Wensheng Qiu', 'Bangmao Wang', 'Tao Xia', 'Chunyue Wang', 'Li Kong', 'Jiajun Yin', 'Tao Zhang', 'Xionghu Shen', 'Deliang Fu', 'Chuntao Gao', 'Huan Wang', 'Quanren Wang', 'Liwei Wang']",2024-09-19,Signal Transduction and Targeted Therapy,"Liposomal irinotecan has shown promising antitumor activity in patients with advanced or metastatic pancreatic ductal adenocarcinoma (PDAC) who have undergone prior gemcitabine-based therapies. This randomized, double-blind, parallel-controlled, multicenter phase 3 study (NCT05074589) assessed the efficacy and safety of liposomal irinotecan HR070803 combined with 5-fluorouracil (5-FU) and leucovorin (LV) in this patient population. Patients with unresectable, locally advanced, or metastatic PDAC who had previously received gemcitabine-based therapies were randomized 1:1 to receive either HR070803 (60 mg/m2 anhydrous irinotecan hydrochloride, equal to 56.5 mg/m2 free base) or placebo, both in combination with 5-FU (2000 mg/m2) and LV (200 mg/m2), all given intravenously every two weeks. The primary endpoint of the study was overall survival (OS). A total of 298 patients were enrolled and received HR070803 plus 5-FU/LV (HR070803 group, n = 149) or placebo plus 5-FU/LV (placebo group, n = 149). Median OS was significantly improved in the HR070803 group compared to the placebo group (7.4 months [95% CI 6.1–8.4] versus 5.0 months [95% CI 4.3–6.0]; HR 0.63 [95% CI 0.48–0.84]; two-sided p = 0.0019). The most common grade ≥ 3 adverse events in the HR070803 group were increased gamma-glutamyltransferase (19.0% versus 11.6% in placebo group) and decreased neutrophil count (12.9% versus 0 in placebo group). No treatment-related deaths occurred in the HR070803 group, while the placebo group reported one treatment-related death (abdominal infection). HR070803 in combination with 5-FU/LV has shown promising efficacy and manageable safety in advanced or metastatic PDAC in the second-line setting, representing a potential option in this patient population."
https://www.nature.com/articles/s41467-024-52607-9,Full-course NIR-II imaging-navigated fractionated photodynamic therapy of bladder tumours with X-ray-activated nanotransducers,"['Liangrui He', 'Liyang Wang', 'Xujiang Yu', 'Yizhang Tang', 'Zhao Jiang', 'Guoliang Yang', 'Zhuang Liu', 'Wanwan Li']",2024-09-19,Nature Communications,"The poor 5-year survival rate for bladder cancers is associated with the lack of efficient diagnostic and treatment techniques. Despite cystoscopy-assisted photomedicine and external radiation being promising modalities to supplement or replace surgery, they remain invasive or fail to provide real-time navigation. Here, we report non-invasive fractionated photodynamic therapy of bladder cancer with full-course real-time near-infrared-II imaging based on engineered X-ray-activated nanotransducers that contain lanthanide-doped nanoscintillators with concurrent emissions in visible and the second near-infrared regions and conjugated photosensitizers. Following intravesical instillation in mice with carcinogen-induced autochthonous bladder tumours, tumour-homing peptide-labelled nanotransducers realize enhanced tumour regression, robust recurrence inhibition, improved survival rates, and restored immune homeostasis under X-ray irradiation with accompanied near-infrared-II imaging. On-demand fractionated photodynamic therapy with customized doses is further achieved based on quantifiable near-infrared-II imaging signal-to-background ratios. Our study presents a promising non-invasive strategy to confront the current bladder cancer dilemma from diagnosis to treatment and prognosis."
https://www.nature.com/articles/s41598-024-72833-x,Enhancing cancer immunotherapy using cordycepin and Cordyceps militaris extract to sensitize cancer cells and modulate immune responses,"['Chutamas Thepmalee', 'Phanitaporn Jenkham', 'Boonyanuch Ramwarungkura', 'Nittiya Suwannasom', 'Krissana Khoothiam', 'Chonthida Thephinlap', 'Nunghathai Sawasdee', 'Aussara Panya', 'Pa-thai Yenchitsomanus']",2024-09-19,Scientific Reports,"Integrating immunotherapy with natural compounds holds promise in enhancing the immune system’s ability to eliminate cancer cells. Cordyceps militaris, a traditional Chinese medicine, emerges as a promising candidate in this regard. This study investigates the effects of cordycepin and C. militaris ethanolic extract (Cm-EE) on sensitizing cancer cells and regulating immune responses against breast cancer (BC) and hepatocellular carcinoma (HCC) cells. Cordycepin, pentostatin and adenosine were identified in Cm-EE. Cordycepin treatment decreased HLA-ABC-positive cells in pre-treated cancer cells, while Cm-EE increased NKG2D ligand and death receptor expression. Additionally, cordycepin enhanced NKG2D receptor and death ligand expression on CD3-negative effector immune cells, particularly on natural killer (NK) cells, while Cm-EE pre-treatment stimulated IL-2, IL-6, and IL-10 production. Co-culturing cancer cells with effector immune cells during cordycepin or Cm-EE incubation resulted in elevated cancer cell death. These findings highlight the potential of cordycepin and Cm-EE in improving the efficacy of cancer immunotherapy for BC and HCC."
https://www.nature.com/articles/s41467-024-52554-5,An elevated rate of whole-genome duplications in cancers from Black patients,"['Leanne M. Brown', 'Ryan A. Hagenson', 'Tilen Koklič', 'Iztok Urbančič', 'Lu Qiao', 'Janez Strancar', 'Jason M. Sheltzer']",2024-09-19,Nature Communications,"In the United States, Black individuals have higher rates of cancer mortality than any other racial group. Here, we examine chromosome copy number changes in cancers from more than 1800 self-reported Black patients. We find that tumors from self-reported Black patients are significantly more likely to exhibit whole-genome duplications (WGDs), a genomic event that enhances metastasis and aggressive disease, compared to tumors from self-reported white patients. This increase in WGD frequency is observed across multiple cancer types, including breast, endometrial, and lung cancer, and is associated with shorter patient survival. We further demonstrate that combustion byproducts are capable of inducing WGDs in cell culture, and cancers from self-reported Black patients exhibit mutational signatures consistent with exposure to these carcinogens. In total, these findings identify a type of genomic alteration that is associated with environmental exposures and that may influence racial disparities in cancer outcomes."
https://www.nature.com/articles/s41698-024-00705-8,Frequent CHD1 deletions in prostate cancers of African American men is associated with rapid disease progression,"['Miklos Diossy', 'Viktoria Tisza', 'Hua Li', 'Pranshu Sahgal', 'Jia Zhou', 'Zsofia Sztupinszki', 'Denise Young', 'Darryl Nousome', 'Claire Kuo', 'Jiji Jiang', 'Yongmei Chen', 'Reinhard Ebner', 'Isabell A. Sesterhenn', 'Joel T. Moncur', 'Gregory T. Chesnut', 'Gyorgy Petrovics', 'Gregory T. Klus', 'Gabor Valcz', 'Pier Vitale Nuzzo', 'Dezso Ribli', 'Judit Börcsök', 'Aurel Prosz', 'Marcin Krzystanek', 'Thomas Ried', 'David Szuts', 'Kinza Rizwan', 'Salma Kaochar', 'Shailja Pathania', 'Alan D. D’Andrea', 'Istvan Csabai', 'Shiv Srivastava', 'Matthew L. Freedman', 'Albert Dobi', 'Sandor Spisak', 'Zoltan Szallasi']",2024-09-19,npj Precision Oncology,"We analyzed genomic data from the prostate cancer of African- and European American men to identify differences contributing to racial disparity of outcome. We also performed FISH-based studies of Chromodomain helicase DNA-binding protein 1 (CHD1) loss on prostate cancer tissue microarrays. We created CHD1-deficient prostate cancer cell lines for genomic, drug sensitivity and functional homologous recombination (HR) activity analysis. Subclonal deletion of CHD1 was nearly three times as frequent in prostate tumors of African American than in European American men and it associates with rapid disease progression. CHD1 deletion was not associated with HR deficiency associated mutational signatures or HR deficiency as detected by RAD51 foci formation. This was consistent with the moderate increase of olaparib and talazoparib sensitivity with several CHD1 deficient cell lines showing talazoparib sensitivity in the clinically relevant concentration range. CHD1 loss may contribute to worse disease outcome in African American men."
https://www.nature.com/articles/s41467-024-52317-2,Multiomic single cell sequencing identifies stemlike nature of mixed phenotype acute leukemia,"['Cheryl A. C. Peretz', 'Vanessa E. Kennedy', 'Anushka Walia', 'Cyrille L. Delley', 'Andrew Koh', 'Elaine Tran', 'Iain C. Clark', 'Corey E. Hayford', 'Chris D’Amato', 'Yi Xue', 'Kristina M. Fontanez', 'Aaron A. May-Zhang', 'Trinity Smithers', 'Yigal Agam', 'Qian Wang', 'Hai-ping Dai', 'Ritu Roy', 'Aaron C. Logan', 'Alexander E. Perl', 'Adam Abate', 'Adam Olshen', 'Catherine C. Smith']",2024-09-18,Nature Communications,"Despite recent work linking mixed phenotype acute leukemia (MPAL) to certain genetic lesions, specific driver mutations remain undefined for a significant proportion of patients and no genetic subtype is predictive of clinical outcomes. Moreover, therapeutic strategy for MPAL remains unclear, and prognosis is overall poor. We performed multiomic single cell profiling of 14 newly diagnosed adult MPAL patients to characterize the inter- and intra-tumoral transcriptional, immunophenotypic, and genetic landscapes of MPAL. We show that neither genetic profile nor transcriptome reliably correlate with specific MPAL immunophenotypes. Despite this, we find that MPAL blasts express a shared stem cell-like transcriptional profile indicative of high differentiation potential. Patients with the highest differentiation potential demonstrate inferior survival in our dataset. A gene set score, MPAL95, derived from genes highly enriched in the most stem-like MPAL cells, is applicable to bulk RNA sequencing data and is predictive of survival in an independent patient cohort, suggesting a potential strategy for clinical risk stratification."
https://www.nature.com/articles/s41598-024-71533-w,Combined knockdown of CD151 and MMP9 may inhibit the malignant biological behaviours of triple-negative breast cancer through the GSK-3β/β-catenin-related pathway,"['Fan Li', 'Liucheng Chen', 'Qing Xia', 'Zhenzhong Feng', 'Nan Li']",2024-09-18,Scientific Reports,"Triple-negative breast cancer (TNBC) represents a significant health concern for women worldwide, and the overproduction of MMP9 and CD151 is associated with various cancers, influencing tumour growth and progression. This study aimed to investigate how CD151 and MMP9 affect TNBC cell migration, apoptosis, proliferation, and invasion. Immunohistochemical experiments revealed that CD151 and MMP9 were positively expressed in triple-negative breast cancer, and lymph node metastasis, the histological grade, and CD151 and MMP9 expression were found to be independent prognostic factors for the survival of patients with triple-negative breast cancer. Cytological experiments indicated that the knockdown of CD151 or MMP9 slowed triple-negative breast cancer cell growth, migration, and invasion and increased the apoptosis rate. Compared with CD151 knockdown, double MMP9 and CD151 knockdown further promoted cell death and inhibited TNBC cell proliferation, migration, and invasion. Moreover, β-catenin and p-GSK-3β were significantly downregulated. In summary, simultaneously silencing CD151 and MMP9 further suppressed the proliferation, migration and invasion of TNBC cells and promoted their apoptosis. One possible strategy for inducing this effect is to block the GSK-3β/β-catenin pathway."
https://www.nature.com/articles/s41467-024-52414-2,Longitudinal deep neural networks for assessing metastatic brain cancer on a large open benchmark,"['Katherine E. Link', 'Zane Schnurman', 'Chris Liu', 'Young Joon (Fred) Kwon', 'Lavender Yao Jiang', 'Mustafa Nasir-Moin', 'Sean Neifert', 'Juan Diego Alzate', 'Kenneth Bernstein', 'Tanxia Qu', 'Viola Chen', 'Eunice Yang', 'John G. Golfinos', 'Daniel Orringer', 'Douglas Kondziolka', 'Eric Karl Oermann']",2024-09-17,Nature Communications,"The detection and tracking of metastatic cancer over the lifetime of a patient remains a major challenge in clinical trials and real-world care. Advances in deep learning combined with massive datasets may enable the development of tools that can address this challenge. We present NYUMets-Brain, the world’s largest, longitudinal, real-world dataset of cancer consisting of the imaging, clinical follow-up, and medical management of 1,429 patients. Using this dataset we developed Segmentation-Through-Time, a deep neural network which explicitly utilizes the longitudinal structure of the data and obtained state-of-the-art results at small (<10 mm3) metastases detection and segmentation. We also demonstrate that the monthly rate of change of brain metastases over time are strongly predictive of overall survival (HR 1.27, 95%CI 1.18-1.38). We are releasing the dataset, codebase, and model weights for other cancer researchers to build upon these results and to serve as a public benchmark."
https://www.nature.com/articles/s41467-024-52394-3,Basal-to-inflammatory transition and tumor resistance via crosstalk with a pro-inflammatory stromal niche,"['Nancy Yanzhe Li', 'Weiruo Zhang', 'Daniel Haensel', 'Anna R. Jussila', 'Cory Pan', 'Sadhana Gaddam', 'Sylvia K. Plevritis', 'Anthony E. Oro']",2024-09-17,Nature Communications,"Cancer-associated inflammation is a double-edged sword possessing both pro- and anti-tumor properties through ill-defined tumor-immune dynamics. While we previously identified a carcinoma tumor-intrinsic resistance pathway, basal-to-squamous cell carcinoma transition, here, employing a multipronged single-cell and spatial-omics approach, we identify an inflammation and therapy-enriched tumor state we term basal-to-inflammatory transition. Basal-to-inflammatory transition signature correlates with poor overall patient survival in many epithelial tumors. Basal-to-squamous cell carcinoma transition and basal-to-inflammatory transition occur in adjacent but distinct regions of a single tumor: basal-to-squamous cell carcinoma transition arises within the core tumor nodule, while basal-to-inflammatory transition emerges from a specialized inflammatory environment defined by a tumor-associated TREM1 myeloid signature. TREM1 myeloid-derived cytokines IL1 and OSM induce basal-to-inflammatory transition in vitro and in vivo through NF-κB, lowering sensitivity of patient basal cell carcinoma explant tumors to Smoothened inhibitor treatment. This work deepens our knowledge of the heterogeneous local tumor microenvironment and nominates basal-to-inflammatory transition as a drug-resistant but targetable tumor state driven by a specialized inflammatory microenvironment."
https://www.nature.com/articles/s41598-024-69252-3,A retrospective analysis suggests PTEN expression is associated with favorable clinicopathological features of breast cancer,"['Leonard Derkyi-Kwarteng', 'Frank Naku Ghartey', 'Eric Aidoo', 'Ernest Addae', 'Emmanuel Gustav Imbeah', 'Ato Ampomah Brown', 'Samuel Acquah']",2024-09-17,Scientific Reports,"The phosphatase and tensin homolog (PTEN) gene acts as a tumor suppressor by regulating the PI3K/AKT pathway, crucial for cell growth and survival. Mutations or loss of PTEN are common in breast cancer, leading to uncontrolled cell growth. Understanding PTEN’s role is vital for targeted therapies. 276 formalin-fixed paraffin-embedded (FFPE) breast cancer tissue blocks from 2012 to 2016 were analyzed for PTEN expression. Immunohistochemistry was performed to identify and assess tumor related clinicopathological characteristics as well as patient demographics. These were statistically matched with PTEN expression. Only 27.5% of the breast cancer tumors were PTEN-positive. PTEN expression correlated significantly with smaller tumor size, lower tumor grade, positive estrogen and progesterone receptor status, and favorable/unfavorable Ki67 status (p < 0.001). No significant association was found with vascular invasion, histologic type, age, HER2 status, staging, or lymph node involvement (p > 0.05). The study confirms PTEN's association with favorable clinicopathological features in breast cancer, supporting its role as a prognostic marker. These findings underscore the importance of PTEN in breast cancer biology and its potential as a therapeutic target. Furthermore these findings confirm the prevalence of advanced stage and aggressive breast cancer tumors in Ghana."
